	sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	resolved	target_skipped
42	3	4	166	0	his	True	-3	2	152	152	152	276	316	316	316	316	-3	his	False	P	False	3	1	1	0
43	3	4	142	0	his	True	-3	3	116	116	116	688	0	0	0	0	-3	his	False	P	False	3	1	1	0
44	3	4	36	0	his	True	-3	4	264	264	780	916	216	216	216	216	-3	his	False	P	False	3	1	1	0
47	3	4	48	0	his	True	-3	7	168	168	168	704	208	208	940	2716	-3	his	False	P	False	3	1	1	0
48	3	4	7	0	his	True	-3	8	276	276	428	784	148	148	148	1024	-3	his	False	P	False	3	1	1	0
50	3	4	135	0	his	True	-3	11	260	260	260	260	252	252	252	252	-3	his	False	P	False	3	1	1	0
51	3	4	164	0	his	True	-3	12	192	192	192	192	200	200	432	1236	-3	his	False	P	False	3	1	1	0
53	3	4	48	0	his	True	-3	14	176	176	176	176	156	156	156	156	-3	his	False	P	False	3	1	1	0
54	3	4	13	0	his	True	-3	15	200	360	360	584	96	96	96	96	-3	his	False	P	False	3	1	1	0
55	3	4	22	0	his	True	-3	16	220	428	428	428	336	1232	1232	1232	-3	his	False	P	False	3	1	1	0
58	3	4	89	0	his	True	-3	19	204	204	204	384	0	0	0	0	-3	his	False	P	False	3	1	1	0
59	3	4	57	0	his	True	-3	20	212	212	296	464	220	220	220	448	-3	his	False	P	False	3	1	1	0
62	3	4	50	0	his	True	-3	23	176	176	176	176	368	840	840	1020	-3	his	False	P	False	3	1	1	0
64	3	4	140	0	his	True	-3	25	260	260	260	260	164	164	164	164	-3	his	False	P	False	3	1	1	0
65	3	4	45	0	his	True	-3	27	140	140	140	776	332	332	332	332	-3	his	False	P	False	3	1	1	0
68	3	4	151	0	his	True	-3	30	164	164	164	164	192	192	192	192	-3	his	False	P	False	3	1	1	0
69	3	4	57	0	his	True	-3	31	152	152	152	220	104	188	188	188	-3	his	False	P	False	3	1	1	0
70	3	4	156	0	his	True	-3	32	164	164	164	164	272	272	272	524	-3	his	False	P	False	3	1	1	0
73	3	4	29	0	his	True	-3	35	188	188	188	188	476	636	636	636	-3	his	False	P	False	3	1	1	0
75	3	4	194	0	his	True	-3	37	88	368	576	1068	188	188	188	188	-3	his	False	P	False	3	1	1	0
76	3	4	114	0	his	True	-3	38	216	216	216	360	188	188	188	348	-3	his	False	P	False	3	1	1	0
78	3	4	20	0	his	True	-3	40	292	476	604	1336	0	0	0	0	-3	his	False	P	False	3	1	1	0
79	3	4	185	0	his	True	-3	41	212	212	428	1172	148	148	148	148	-3	his	False	P	False	3	1	1	0
161	14	5	53	0	his	True	?	1	220	220	220	220	160	160	160	328	?	his	False	P	False	3	0	0	0
162	14	5	29	0	his	True	?	2	88	88	88	980	0	0	0	0	?	his	False	P	False	3	0	0	0
163	14	5	193	0	his	True	?	3	168	576	576	740	0	0	0	0	?	his	False	P	False	3	0	0	0
164	14	5	177	0	his	True	?	4	548	548	548	856	0	0	0	0	?	his	False	P	False	3	0	0	0
165	14	5	4	0	his	True	?	5	236	236	480	2868	712	712	712	712	?	his	False	P	False	3	0	0	0
166	14	5	5	0	his	True	?	6	368	368	368	368	0	0	0	0	?	his	False	P	False	3	0	0	0
168	14	5	4	0	his	True	?	8	340	340	340	340	184	184	184	924	?	his	False	P	False	3	0	0	0
169	14	5	60	0	his	True	?	10	192	192	192	192	156	156	156	1536	?	his	False	P	False	3	0	0	0
170	14	5	10	0	his	True	?	11	148	148	148	148	396	396	396	676	?	his	False	P	False	3	0	0	0
171	14	5	201	0	his	True	?	12	288	288	288	1480	0	0	0	0	?	his	False	P	False	3	0	0	0
174	14	5	155	0	his	True	?	15	132	132	352	768	0	0	0	0	?	his	False	P	False	3	0	0	0
175	14	5	181	0	his	True	?	16	196	556	556	556	248	1024	1024	1024	?	his	False	P	False	3	0	0	0
176	14	5	17	0	his	True	?	17	296	296	296	296	128	128	128	520	?	his	False	P	False	3	0	0	0
177	14	5	108	0	his	True	?	18	240	240	240	424	0	0	0	0	?	his	False	P	False	3	0	0	0
178	14	5	200	0	his	True	?	19	220	220	220	220	68	68	68	1012	?	his	False	P	False	3	0	0	0
179	14	5	54	0	his	True	?	20	248	248	248	248	192	192	192	468	?	his	False	P	False	3	0	0	0
182	14	5	92	0	his	True	?	23	192	192	192	192	256	256	1528	4404	?	his	False	P	False	3	0	0	0
183	14	5	175	0	his	True	?	24	144	272	272	272	0	0	0	0	?	his	False	P	False	3	0	0	0
184	14	5	154	0	his	True	?	25	148	148	148	148	104	104	876	2012	?	his	False	P	False	3	0	0	0
185	14	5	166	0	his	True	?	27	128	128	128	640	528	528	528	528	?	his	False	P	False	3	0	0	0
186	14	5	127	0	his	True	?	28	820	820	820	820	188	188	188	404	?	his	False	P	False	3	0	0	0
187	14	5	74	0	his	True	?	29	172	284	284	284	728	728	728	728	?	his	False	P	False	3	0	0	0
188	14	5	173	0	his	True	?	30	248	248	248	248	312	312	312	712	?	his	False	P	False	3	0	0	0
190	14	5	78	0	his	True	?	32	280	280	280	464	0	0	0	0	?	his	False	P	False	3	0	0	0
191	14	5	142	0	his	True	?	33	132	132	232	400	196	196	796	1564	?	his	False	P	False	3	0	0	0
192	14	5	1	0	his	True	?	34	296	296	296	296	0	0	0	0	?	his	False	P	False	3	0	0	0
193	14	5	1	0	his	True	?	35	144	144	144	144	632	632	632	632	?	his	False	P	False	3	0	0	0
194	14	5	115	0	his	True	?	36	152	152	520	816	0	0	0	0	?	his	False	P	False	3	0	0	0
195	14	5	126	0	his	True	?	37	156	456	604	1372	256	256	256	708	?	his	False	P	False	3	0	0	0
196	14	5	108	0	his	True	?	38	188	188	188	304	296	296	640	996	?	his	False	P	False	3	0	0	0
197	14	5	96	0	his	True	?	39	196	224	224	416	180	180	180	180	?	his	False	P	False	3	0	0	0
198	14	5	160	0	his	True	?	41	232	232	232	232	100	100	296	992	?	his	False	P	False	3	0	0	0
200	14	5	163	0	his	True	?	43	164	164	308	592	0	0	0	0	?	his	False	P	False	3	0	0	0
201	16	3	15	0	his	False	-2	1	260	260	260	260	164	164	164	164	-2	his	False	P	False	3	0	1	0
202	16	3	101	0	his	False	-2	2	136	136	136	136	128	128	128	128	-2	his	False	P	False	3	0	1	0
203	16	3	59	0	his	False	-2	3	168	168	168	168	248	248	248	248	-2	his	False	P	False	3	0	1	0
204	16	3	148	0	his	False	-2	4	148	148	148	148	332	332	332	332	-2	his	False	P	False	3	0	1	0
205	16	3	72	0	his	False	-2	5	164	164	164	164	192	192	192	192	-2	his	False	P	False	3	0	1	0
206	16	3	192	0	his	False	-2	6	124	124	124	124	0	0	0	0	-2	his	False	P	False	3	0	1	0
207	16	3	195	0	his	False	-2	7	160	160	160	160	0	0	0	0	-2	his	False	P	False	3	0	1	0
208	16	3	22	0	his	False	-2	8	196	196	196	196	140	140	140	140	-2	his	False	P	False	3	0	1	0
209	16	3	5	0	his	False	-2	9	196	196	196	196	164	164	164	164	-2	his	False	P	False	3	0	1	0
210	16	3	86	0	his	False	-2	10	156	156	156	156	68	68	68	68	-2	his	False	P	False	3	0	1	0
211	16	3	16	0	his	False	-2	11	136	136	136	136	216	216	216	216	-2	his	False	P	False	3	0	1	0
213	16	3	139	0	his	False	-2	13	184	184	184	184	0	0	0	0	-2	his	False	P	False	3	0	1	0
214	16	3	177	0	his	False	-2	14	256	256	256	256	0	0	0	0	-2	his	False	P	False	3	0	1	0
215	16	3	142	0	his	False	-2	15	196	196	196	196	0	0	0	0	-2	his	False	P	False	3	0	1	0
216	16	3	113	0	his	False	-2	16	212	212	212	212	164	164	164	164	-2	his	False	P	False	3	0	1	0
218	16	3	45	0	his	False	-2	18	252	252	252	252	136	136	136	136	-2	his	False	P	False	3	0	1	0
219	16	3	8	0	his	False	-2	19	160	160	160	160	236	236	236	236	-2	his	False	P	False	3	0	1	0
221	16	3	55	0	his	False	-2	21	212	212	400	708	120	120	120	120	-2	his	False	P	False	3	0	1	0
