	sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	resolved	target_skipped
41	3	4	18	0	his	True	-3	1	0	0	0	0	168	168	468	1720	-3	his	False	P	False	3	1	1	1
42	3	4	166	0	his	True	-3	2	152	152	152	276	316	316	316	316	-3	his	False	P	False	3	1	1	0
44	3	4	36	0	his	True	-3	4	264	264	780	916	216	216	216	216	-3	his	False	P	False	3	1	1	0
45	3	4	148	0	his	True	-3	5	0	0	0	0	244	244	244	1452	-3	his	False	P	False	3	1	1	1
46	3	4	137	0	his	True	-3	6	0	0	0	0	208	208	208	568	-3	his	False	P	False	3	1	1	1
47	3	4	48	0	his	True	-3	7	168	168	168	704	208	208	940	2716	-3	his	False	P	False	3	1	1	0
48	3	4	7	0	his	True	-3	8	276	276	428	784	148	148	148	1024	-3	his	False	P	False	3	1	1	0
49	3	4	127	0	his	True	-3	10	0	0	0	0	272	272	272	1116	-3	his	False	P	False	3	1	1	1
50	3	4	135	0	his	True	-3	11	260	260	260	260	252	252	252	252	-3	his	False	P	False	3	1	1	0
51	3	4	164	0	his	True	-3	12	192	192	192	192	200	200	432	1236	-3	his	False	P	False	3	1	1	0
52	3	4	46	0	his	True	-3	13	0	0	0	0	172	376	376	376	-3	his	False	P	False	3	1	1	1
53	3	4	48	0	his	True	-3	14	176	176	176	176	156	156	156	156	-3	his	False	P	False	3	1	1	0
54	3	4	13	0	his	True	-3	15	200	360	360	584	96	96	96	96	-3	his	False	P	False	3	1	1	0
55	3	4	22	0	his	True	-3	16	220	428	428	428	336	1232	1232	1232	-3	his	False	P	False	3	1	1	0
56	3	4	23	0	his	True	-3	17	0	0	0	0	204	204	540	1372	-3	his	False	P	False	3	1	1	1
57	3	4	181	0	his	True	-3	18	0	0	0	0	304	304	304	304	-3	his	False	P	False	3	1	1	1
59	3	4	57	0	his	True	-3	20	212	212	296	464	220	220	220	448	-3	his	False	P	False	3	1	1	0
60	3	4	123	0	his	True	-3	21	0	0	0	0	36	204	420	812	-3	his	False	P	False	3	1	1	1
61	3	4	146	0	his	True	-3	22	0	0	0	0	228	228	228	372	-3	his	False	P	False	3	1	1	1
62	3	4	50	0	his	True	-3	23	176	176	176	176	368	840	840	1020	-3	his	False	P	False	3	1	1	0
63	3	4	3	0	his	True	-3	24	0	0	0	0	140	140	336	1468	-3	his	False	P	False	3	1	1	1
64	3	4	140	0	his	True	-3	25	260	260	260	260	164	164	164	164	-3	his	False	P	False	3	1	1	0
65	3	4	45	0	his	True	-3	27	140	140	140	776	332	332	332	332	-3	his	False	P	False	3	1	1	0
66	3	4	88	0	his	True	-3	28	0	0	0	0	176	176	384	548	-3	his	False	P	False	3	1	1	1
67	3	4	176	0	his	True	-3	29	0	0	0	0	156	156	288	448	-3	his	False	P	False	3	1	1	1
68	3	4	151	0	his	True	-3	30	164	164	164	164	192	192	192	192	-3	his	False	P	False	3	1	1	0
69	3	4	57	0	his	True	-3	31	152	152	152	220	104	188	188	188	-3	his	False	P	False	3	1	1	0
70	3	4	156	0	his	True	-3	32	164	164	164	164	272	272	272	524	-3	his	False	P	False	3	1	1	0
71	3	4	43	0	his	True	-3	33	0	0	0	0	176	176	736	1784	-3	his	False	P	False	3	1	1	1
73	3	4	29	0	his	True	-3	35	188	188	188	188	476	636	636	636	-3	his	False	P	False	3	1	1	0
74	3	4	150	0	his	True	-3	36	0	0	0	0	168	168	168	452	-3	his	False	P	False	3	1	1	1
75	3	4	194	0	his	True	-3	37	88	368	576	1068	188	188	188	188	-3	his	False	P	False	3	1	1	0
76	3	4	114	0	his	True	-3	38	216	216	216	360	188	188	188	348	-3	his	False	P	False	3	1	1	0
77	3	4	38	0	his	True	-3	39	0	0	0	0	160	160	296	700	-3	his	False	P	False	3	1	1	1
79	3	4	185	0	his	True	-3	41	212	212	428	1172	148	148	148	148	-3	his	False	P	False	3	1	1	0
80	3	4	108	0	his	True	-3	42	0	0	0	0	296	296	296	768	-3	his	False	P	False	3	1	1	1
81	3	4	116	0	his	True	-3	43	0	0	0	0	188	188	312	716	-3	his	False	P	False	3	1	1	1
201	16	3	15	0	his	False	-2	1	260	260	260	260	164	164	164	164	-2	his	False	P	False	3	0	1	0
202	16	3	101	0	his	False	-2	2	136	136	136	136	128	128	128	128	-2	his	False	P	False	3	0	1	0
203	16	3	59	0	his	False	-2	3	168	168	168	168	248	248	248	248	-2	his	False	P	False	3	0	1	0
204	16	3	148	0	his	False	-2	4	148	148	148	148	332	332	332	332	-2	his	False	P	False	3	0	1	0
205	16	3	72	0	his	False	-2	5	164	164	164	164	192	192	192	192	-2	his	False	P	False	3	0	1	0
208	16	3	22	0	his	False	-2	8	196	196	196	196	140	140	140	140	-2	his	False	P	False	3	0	1	0
209	16	3	5	0	his	False	-2	9	196	196	196	196	164	164	164	164	-2	his	False	P	False	3	0	1	0
210	16	3	86	0	his	False	-2	10	156	156	156	156	68	68	68	68	-2	his	False	P	False	3	0	1	0
211	16	3	16	0	his	False	-2	11	136	136	136	136	216	216	216	216	-2	his	False	P	False	3	0	1	0
216	16	3	113	0	his	False	-2	16	212	212	212	212	164	164	164	164	-2	his	False	P	False	3	0	1	0
217	16	3	158	0	his	False	-2	17	0	0	0	0	212	212	212	516	-2	his	False	P	False	3	0	1	1
218	16	3	45	0	his	False	-2	18	252	252	252	252	136	136	136	136	-2	his	False	P	False	3	0	1	0
219	16	3	8	0	his	False	-2	19	160	160	160	160	236	236	236	236	-2	his	False	P	False	3	0	1	0
220	16	3	204	0	his	False	-2	20	0	0	0	0	192	192	192	192	-2	his	False	P	False	3	0	1	1
221	16	3	55	0	his	False	-2	21	212	212	400	708	120	120	120	120	-2	his	False	P	False	3	0	1	0
223	16	3	103	0	his	False	-2	23	132	288	288	288	264	264	264	264	-2	his	False	P	False	3	0	1	0
224	16	3	40	0	his	False	-2	24	160	160	160	160	204	204	204	204	-2	his	False	P	False	3	0	1	0
225	16	3	166	0	his	False	-2	25	136	136	136	136	148	148	148	148	-2	his	False	P	False	3	0	1	0
226	16	3	26	0	his	False	-2	27	72	72	72	552	300	300	300	300	-2	his	False	P	False	3	0	1	0
228	16	3	97	0	his	False	-2	29	180	180	180	180	188	188	188	188	-2	his	False	P	False	3	0	1	0
229	16	3	70	0	his	False	-2	30	276	276	488	744	212	212	212	212	-2	his	False	P	False	3	0	1	0
230	16	3	136	0	his	False	-2	31	144	144	144	144	120	120	120	120	-2	his	False	P	False	3	0	1	0
231	16	3	41	0	his	False	-2	32	184	184	184	184	200	200	200	200	-2	his	False	P	False	3	0	1	0
232	16	3	2	0	his	False	-2	33	188	188	188	188	136	136	136	136	-2	his	False	P	False	3	0	1	0
233	16	3	92	0	his	False	-2	34	220	220	220	432	212	424	424	424	-2	his	False	P	False	3	0	1	0
234	16	3	35	0	his	False	-2	35	0	0	0	0	164	320	320	320	-2	his	False	P	False	3	0	1	1
235	16	3	186	0	his	False	-2	36	180	180	180	180	252	252	252	656	-2	his	False	P	False	3	0	1	0
236	16	3	49	0	his	False	-2	37	212	212	212	212	128	128	128	128	-2	his	False	P	False	3	0	1	0
