	sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	inverse_distance	clean_token	reflexive	ana_category	multiple_drefs	word_length	num_prev_anas	resolved	target_skipped	spill_skipped
1	3	4	166	0	his	True	-3	2	152	152	152	276	316	316	316	316	-3	his	False	P	False	3	1	1	0	0
2	3	4	142	0	his	True	-3	3	116	116	116	688	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
3	3	4	36	0	his	True	-3	4	264	264	780	916	216	216	216	216	-3	his	False	P	False	3	1	1	0	0
6	3	4	48	0	his	True	-3	7	168	168	168	704	208	208	940	2716	-3	his	False	P	False	3	1	1	0	0
7	3	4	7	0	his	True	-3	8	276	276	428	784	148	148	148	1024	-3	his	False	P	False	3	1	1	0	0
9	3	4	135	0	his	True	-3	11	260	260	260	260	252	252	252	252	-3	his	False	P	False	3	1	1	0	0
10	3	4	164	0	his	True	-3	12	192	192	192	192	200	200	432	1236	-3	his	False	P	False	3	1	1	0	0
12	3	4	48	0	his	True	-3	14	176	176	176	176	156	156	156	156	-3	his	False	P	False	3	1	1	0	0
13	3	4	13	0	his	True	-3	15	200	360	360	584	96	96	96	96	-3	his	False	P	False	3	1	1	0	0
14	3	4	22	0	his	True	-3	16	220	428	428	428	336	1232	1232	1232	-3	his	False	P	False	3	1	1	0	0
17	3	4	89	0	his	True	-3	19	204	204	204	384	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
18	3	4	57	0	his	True	-3	20	212	212	296	464	220	220	220	448	-3	his	False	P	False	3	1	1	0	0
21	3	4	50	0	his	True	-3	23	176	176	176	176	368	840	840	1020	-3	his	False	P	False	3	1	1	0	0
23	3	4	140	0	his	True	-3	25	260	260	260	260	164	164	164	164	-3	his	False	P	False	3	1	1	0	0
24	3	4	45	0	his	True	-3	27	140	140	140	776	332	332	332	332	-3	his	False	P	False	3	1	1	0	0
27	3	4	151	0	his	True	-3	30	164	164	164	164	192	192	192	192	-3	his	False	P	False	3	1	1	0	0
28	3	4	57	0	his	True	-3	31	152	152	152	220	104	188	188	188	-3	his	False	P	False	3	1	1	0	0
29	3	4	156	0	his	True	-3	32	164	164	164	164	272	272	272	524	-3	his	False	P	False	3	1	1	0	0
32	3	4	29	0	his	True	-3	35	188	188	188	188	476	636	636	636	-3	his	False	P	False	3	1	1	0	0
34	3	4	194	0	his	True	-3	37	88	368	576	1068	188	188	188	188	-3	his	False	P	False	3	1	1	0	0
35	3	4	114	0	his	True	-3	38	216	216	216	360	188	188	188	348	-3	his	False	P	False	3	1	1	0	0
37	3	4	20	0	his	True	-3	40	292	476	604	1336	0	0	0	0	-3	his	False	P	False	3	1	1	0	1
38	3	4	185	0	his	True	-3	41	212	212	428	1172	148	148	148	148	-3	his	False	P	False	3	1	1	0	0
41	16	3	15	0	his	False	-3	1	260	260	260	260	164	164	164	164	-3	his	False	P	False	3	0	1	0	0
42	16	3	101	0	his	False	-3	2	136	136	136	136	128	128	128	128	-3	his	False	P	False	3	0	1	0	0
43	16	3	59	0	his	False	-3	3	168	168	168	168	248	248	248	248	-3	his	False	P	False	3	0	1	0	0
44	16	3	148	0	his	False	-3	4	148	148	148	148	332	332	332	332	-3	his	False	P	False	3	0	1	0	0
