	sent_nr	sbn_verb_pos	nr_neg_roles	nr_pos_roles	word_pos	token	sent_idxs	sent_tokens	subj_nr	sent_pos	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp	word_length	target_skipped	spill_skipped
0	1	1	1	1	2	lost	[1]	['lost']	1	127	152	152	152	152	144	144	144	208	4	0	0
1	1	1	1	1	2	lost	[1]	['lost']	2	74	120	120	120	120	160	160	160	160	4	0	0
2	1	1	1	1	2	lost	[1]	['lost']	3	132	344	344	344	344	288	288	288	288	4	0	0
3	1	1	1	1	2	lost	[1]	['lost']	4	2	280	280	280	280	148	148	148	148	4	0	0
4	1	1	1	1	2	lost	[1]	['lost']	5	200	248	500	500	500	220	220	220	560	4	0	0
5	1	1	1	1	2	lost	[1]	['lost']	6	204	0	0	0	0	236	236	236	236	4	1	0
6	1	1	1	1	2	lost	[1]	['lost']	7	133	144	144	144	144	124	124	124	124	4	0	0
7	1	1	1	1	2	lost	[1]	['lost']	8	81	244	244	420	556	148	148	148	148	4	0	0
8	1	1	1	1	2	lost	[1]	['lost']	9	7	0	0	0	0	0	0	0	0	4	1	1
9	1	1	1	1	2	lost	[1]	['lost']	10	116	148	148	148	148	192	320	320	320	4	0	0
10	1	1	1	1	2	lost	[1]	['lost']	11	130	144	144	144	144	144	144	144	144	4	0	0
11	1	1	1	1	2	lost	[1]	['lost']	12	54	280	280	280	280	288	288	288	288	4	0	0
12	1	1	1	1	2	lost	[1]	['lost']	13	5	148	148	148	148	124	124	124	124	4	0	0
13	1	1	1	1	2	lost	[1]	['lost']	14	185	204	204	204	204	164	164	164	164	4	0	0
14	1	1	1	1	2	lost	[1]	['lost']	15	67	252	252	252	252	132	316	316	568	4	0	0
15	1	1	1	1	2	lost	[1]	['lost']	16	191	200	200	200	200	180	180	180	180	4	0	0
16	1	1	1	1	2	lost	[1]	['lost']	17	59	384	384	384	384	0	0	0	0	4	0	1
17	1	1	1	1	2	lost	[1]	['lost']	18	80	216	216	216	216	164	164	164	164	4	0	0
18	1	1	1	1	2	lost	[1]	['lost']	19	62	152	152	152	152	240	240	240	240	4	0	0
