id	sent_nr	sent	manual_anaphoras	non-12-per_anaphoras
d0349_p30	1	Anne lost control and laughed.	-	-
d0349_p31	2	Billy wrote on the envelope.	-	-
d0349_p32	3	He called over his shoulder.	He(?), his(-3)	He[0](?); his[3](-3)
d0349_p33	4	He stayed against the wall.	He(?)	He[0](?)
d0349_p34	5	Helen ran to the toilet.	-	-
d0349_p35	6	I cannot tell you more.	I(?), you(?)	-
d0349_p36	7	Michael gave Adam two pounds.	-	-
d0349_p37	8	Roger smiled and sat down.	-	-
d0349_p38	9	Things were looking up again.	-	-
d0349_p39	10	This man's hair is black.	This{dem}(?)	This[0](?)
d0349_p40	11	Turn your hearing aid up.	your(?)	-
d0349_p41	12	You'll demand nothing of me.	You'll(?), me(?)	-
d0349_p42	13	A horse has thrown a shoe.	-	-
d0349_p43	14	A tube train took his legs.	his(?)	his[4](?)
d0349_p44	15	Five will be listening for sure.	-	-
d0349_p45	16	Gordon felt his anger build up.	his(-2)	his[2](-2)
d0349_p46	17	Harry smiled at his little brother.	his(-3)	his[3](-3)
d0349_p47	18	He needed putting in his place.	He(?), his(-4)	He[0](?); his[4](-4)
d0349_p48	19	He shouted and the calling ceased.	He(?)	He[0](?)
d0349_p49	20	He uses his belt on you.	He(?), his(-2), you(?)	He[0](?); his[2](-2)
d0349_p51	21	He's broken his wrists very badly.	He's(?), his(-2)	He's[0](?); his[2](-2)
d0349_p52	22	I am touched deeply in places.	I(?)	-
d0349_p53	23	I don't want to hear it.	I(?), it.(?)	it.[5](?)
d0349_p54	24	I knew I heard your voice.	I(?), I(-2), your(?)	-
d0349_p55	25	I wouldn't want to miss this.	I(?), this{dem}(?)	this.[5](?)
d0349_p56	26	Jack walked up to the door.	-	-
d0349_p57	27	Ross sat back down and shivered.	-	-
d0349_p59	28	She couldn't help feel for Alex.	She(?)	She[0](?)
d0349_p60	29	The bored looking soldier just pointed.	-	-
d0349_p61	30	The campaign will pay for itself.	itself(-4)	itself.[5](-4)
d0349_p62	31	They're riding out to meet them.	They're(?), them(?)	They're[0](?); them.[5](?)
d0349_p63	32	We barely escaped with our lives.	We(?), our(-4)	We[0](?); our[4](-4)
d0349_p64	33	We've been travelling almost three days.	We've(?)	We've[0](?)
d0349_p65	34	Alice is looking for somewhere to live.	-	-
d0349_p66	35	Alan forgot to shave again this morning.	this{dem}(?)	this[5](?)
d0349_p67	36	Have a carriage sent for us immediately.	us(?)	us[5](?)
d0349_p68	37	He probably doesn't want people to know.	He(?)	He[0](?)
d0349_p69	38	He put the fork on the table.	He(?)	He[0](?)
d0349_p70	39	I'll give him more than a slap.	I'll(?), him(?)	him[2](?)
d0349_p71	40	Andrew nodded and stood against the counter.	-	-
d0349_p72	41	Looks like a walk did the trick.	-	-
d0349_p73	42	Sam felt proud when he went home.	he(-4)	he[4](-4)
d0349_p74	43	Scott got up and washed his plate.	his(-5)	his[5](-5)
d0349_p75	44	Simon nodded and walked into the room.	-	-
d0349_p76	45	Steve sat down to eat his lunch.	his(-5)	his[5](-5)
d0349_p77	46	Ted smiled and bit his bottom lip.	his(-4)	his[4](-4)
d0349_p78	47	Thomas stepped back and shook his head.	his(-5)	his[5](-5)
d0349_p79	48	Tom stood up and wiped his jeans.	his(-5)	his[5](-5)
d0349_p80	49	Tony stopped off at his first delivery.	his(-4)	his[4](-4)
d0349_p81	50	Normally they want to cut things up.	they(?)	they[1](?)
d0349_p82	51	Powerful in the wrong hands, is that.	that{dem}(?)	that.[6](?)
d0349_p83	52	She had refused to leave her home.	She(?), her(-5)	She[0](?); her[5](-5)
d0349_p84	53	She hid the boxes and matches well.	She(?)	She[0](?)
d0349_p85	54	The bored looking soldier continued looking bored.	-	-
d0349_p86	55	The dead must not kill the living.	-	-
d0349_p87	56	The prison guard walked along the row.	-	-
d0349_p88	57	The van is your lead, follow that.	your(?), that{dem}(-5)	that.[6](-5)
d0349_p89	58	You're getting up early in the morning.	You're(?)	-
d0349_p90	59	After lunch he was told he had visitors.	he(?), he(-3)	he[2](?); he[5](-3)
d0349_p91	60	Albert spoke before Barbara had a chance to.	-	-
d0349_p92	61	Come within the walls to escape the enemy.	-	-
d0349_p93	62	Follow me closely and watch for their leader.	me(?), their(?)	their[6](?)
d0349_p94	63	He called out but she did not move.	He(?), she(?)	He[0](?); she[4](?)
d0349_p95	64	He sat down and began to eat breakfast.	He(?)	He[0](?)
d0349_p96	65	He slammed the knife down on the lamb.	He(?)	He[0](?)
d0349_p97	66	He staggered into the chair at his desk.	He(?), his(-6)	He[0](?); his[6](-6)
d0349_p98	67	I do not spare the birds a killing.	I(?)	-
d0349_p99	68	I think our friend's demands are well justified.	I(?), our(?)	-
d0350_p00	69	Let us leave these poor people in peace.	us(?)	us[1](?)
d0350_p01	70	Walter closed the door and took a breath.	-	-
d0350_p02	71	William sat down and tucked into his breakfast.	his(-6)	his[6](-6)
d0350_p03	72	Alec stood against the wall to steady himself.	himself(-7)	himself.[7](-7)
d0350_p04	73	No-one else had dared step within the ring.	-	-
d0350_p05	74	None of the city people dress like that.	that{dem}(?)	that.[7](?)
d0350_p06	75	She saw the throwing knife in his hand.	She(?), his(?)	She[0](?); his[6](?)
d0350_p07	76	She was smiling in the dark, teeth flashing.	She(?)	She[0](?)
d0350_p08	77	Shut your smart foul mouth and sit down.	your(?)	-
d0350_p09	78	Tell me what really happened to the truck.	me(?)	-
d0350_p10	79	The door was opened and Alexander walked out.	-	-
d0350_p11	80	There were choked screams and shouts of dismay.	-	-
d0350_p12	81	There will be men to kill either way.	-	-
d0350_p13	82	They were definitely holding hands underneath the table.	They(?)	They[0](?)
d0350_p14	83	Claudia still teaches and still claims to hate it.	it(-6)	it.[8](-6)
d0350_p15	84	Burn him now, don't wait for him to escape.	him(?), him(-5)	him[1](?); him[6](-5)
d0350_p16	85	Don't die of cold before you die in battle.	you(?)	-
d0350_p17	86	Good God, if you are watching, give me strength.	you(-2), me(?)	-
d0350_p18	87	He heaved his shoulders and swung the axe again.	He(?), his(-2)	He[0](?); his[2](-2)
d0350_p19	88	He is after glory and heads for his hall.	He(?), his(-7)	He[0](?); his[7](-7)
d0350_p20	89	He just wished he could talk to his dad.	He(?), he(-3), his(-4)	He[0](?); he[3](-3); his[7](-4)
d0350_p21	90	He lay his sword aside and extended his hands.	He(?), his(-2), his(-5)	He[0](?); his[2](-2); his[7](-5)
d0350_p22	91	He sighed and walked back to the wood shop.	He(?)	He[0](?)
d0350_p23	92	He smiled when she let out a big yawn.	He(?), she(?)	He[0](?); she[3](?)
d0350_p24	93	He was leaning against his truck smoking a joint.	He(?), his(-4)	He[0](?); his[4](-4)
d0350_p25	94	I was thinking of getting the band together again.	I(?)	-
d0350_p26	95	It is a narrow ship, much like our own.	It(?), our(?)	It[0](?)
d0350_p27	96	Arthur placed the bars of chocolate on the counter.	-	-
d0350_p28	97	John gave Bernard a hard slap on the head.	-	-
d0350_p29	98	Let's get out and I'll buy you a drink.	Let's(?), I(-4), you(-6)	Let's[0](?)
d0350_p30	99	Let's have the gates closed and go home early.	Let's(?)	Let's[0](?)
d0350_p31	100	Andrew closed the office door on the way out.	-	-
d0350_p32	101	Charles felt sick to the pit of his stomach.	his(-7)	his[7](-7)
d0350_p33	102	Christopher groaned and lay his hands across his stomach.	his(-4), his(-3)	his[4](-4); his[7](-3)
d0350_p34	103	Dave kicked him in the stomach and Paul groaned.	him(+5)	him[2](+5)
d0350_p35	104	Dexter opened his letter and found a photograph inside.	his(-2)	his[2](-2)
d0350_p36	105	Duncan took a breath and wanted to be sick.	-	-
d0350_p37	106	Edward washed his hands and flicked water at Bob.	his(-2)	his[2](-2)
d0350_p38	107	She turned and saw him standing in her path.	She(?), him(?), her(-7)	She[0](?); him[4](?); her[7](-7)
d0350_p39	108	They turned round just as Frankie walked toward them.	They(?), them(-8)	They[0](?); them.[8](-8)
d0350_p40	109	Underneath the table her hand was gripping the chair.	her(?)	her[3](?)
d0350_p41	110	Whether Peter heard him or not Gabriel didn't care.	him(?)	him[3](?)
d0350_p42	111	You give me a lead and I'll follow it.	You(?), me(?), I(-4), it(-4)	it.[8](-4)
d0350_p43	112	All the bowls from the empty tables are cleared up.	-	-
d0350_p44	113	His dark hair was just visible under his white hat.	His(?), his(-7)	His[0](?); his[7](-7)
d0350_p45	114	His men will not follow him and they are few.	His(?), him(-5), they(-6)	His[0](?); him[5](-5); they[7](-6)
d0350_p46	115	I'll break your neck if you don't fix that water.	I'll(?), your(?), you(-3), that{dem}(?)	that[8](?)
