sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp
3	1	18	0	He	True	?	1	112	316	316	316	144	144	144	144
3	1	166	0	He	True	?	2	224	224	224	224	96	96	96	96
3	1	142	0	He	True	?	3	244	244	244	244	128	128	128	128
3	1	36	0	He	True	?	4	256	256	256	256	164	164	164	164
3	1	148	0	He	True	?	5	0	0	0	0	0	0	0	0
3	1	137	0	He	True	?	6	252	252	252	252	0	0	0	0
3	1	48	0	He	True	?	7	224	224	224	224	204	204	204	204
3	1	7	0	He	True	?	8	260	260	260	260	292	292	292	292
3	1	127	0	He	True	?	10	0	0	0	0	224	332	332	332
3	1	135	0	He	True	?	11	228	228	228	228	128	128	128	128
3	1	164	0	He	True	?	12	0	0	0	0	500	500	500	500
3	1	46	0	He	True	?	13	76	336	336	336	0	0	0	0
3	1	48	0	He	True	?	14	0	0	0	0	256	400	400	400
3	1	13	0	He	True	?	15	0	0	0	0	260	260	260	260
3	1	22	0	He	True	?	16	0	0	0	0	36	36	176	396
3	1	23	0	He	True	?	17	324	324	324	324	416	416	416	416
3	1	181	0	He	True	?	18	0	0	0	0	272	272	272	272
3	1	89	0	He	True	?	19	0	0	0	0	0	0	0	0
3	1	57	0	He	True	?	20	0	0	0	0	340	340	340	340
3	1	123	0	He	True	?	21	0	0	0	0	0	0	0	0
3	1	146	0	He	True	?	22	324	324	324	324	152	152	152	152
3	1	50	0	He	True	?	23	320	320	320	320	192	192	192	192
3	1	3	0	He	True	?	24	0	0	0	0	0	0	0	0
3	1	140	0	He	True	?	25	0	0	0	0	152	520	520	520
3	1	45	0	He	True	?	27	0	0	0	0	0	0	0	0
3	1	88	0	He	True	?	28	0	0	0	0	260	260	500	612
3	1	176	0	He	True	?	29	0	0	0	0	252	252	252	252
3	1	151	0	He	True	?	30	0	0	0	0	0	0	0	0
3	1	57	0	He	True	?	31	252	252	252	252	168	168	168	168
3	1	156	0	He	True	?	32	236	236	236	236	136	368	368	368
3	1	43	0	He	True	?	33	248	248	248	248	72	72	428	1072
3	1	3	0	He	True	?	34	0	0	0	0	140	244	244	244
3	1	29	0	He	True	?	35	0	0	0	0	252	404	404	404
3	1	150	0	He	True	?	36	0	0	0	0	0	0	0	0
3	1	194	0	He	True	?	37	0	0	0	0	336	592	592	592
3	1	114	0	He	True	?	38	0	0	0	0	236	384	384	384
3	1	38	0	He	True	?	39	0	0	0	0	0	0	0	0
3	1	20	0	He	True	?	40	0	0	0	0	236	412	412	496
3	1	185	0	He	True	?	41	0	0	0	0	0	0	0	0
3	1	108	0	He	True	?	42	112	112	112	112	164	164	164	164
3	1	116	0	He	True	?	43	0	0	0	0	296	352	352	352
3	4	18	0	his	True	-3	1	0	0	0	0	168	168	468	1720
3	4	166	0	his	True	-3	2	152	152	152	276	316	316	316	316
3	4	142	0	his	True	-3	3	116	116	116	688	0	0	0	0
3	4	36	0	his	True	-3	4	264	264	780	916	216	216	216	216
3	4	148	0	his	True	-3	5	0	0	0	0	244	244	244	1452
3	4	137	0	his	True	-3	6	0	0	0	0	208	208	208	568
3	4	48	0	his	True	-3	7	168	168	168	704	208	208	940	2716
3	4	7	0	his	True	-3	8	276	276	428	784	148	148	148	1024
3	4	127	0	his	True	-3	10	0	0	0	0	272	272	272	1116
3	4	135	0	his	True	-3	11	260	260	260	260	252	252	252	252
3	4	164	0	his	True	-3	12	192	192	192	192	200	200	432	1236
3	4	46	0	his	True	-3	13	0	0	0	0	172	376	376	376
3	4	48	0	his	True	-3	14	176	176	176	176	156	156	156	156
3	4	13	0	his	True	-3	15	200	360	360	584	96	96	96	96
3	4	22	0	his	True	-3	16	220	428	428	428	336	1232	1232	1232
3	4	23	0	his	True	-3	17	0	0	0	0	204	204	540	1372
3	4	181	0	his	True	-3	18	0	0	0	0	304	304	304	304
3	4	89	0	his	True	-3	19	204	204	204	384	0	0	0	0
3	4	57	0	his	True	-3	20	212	212	296	464	220	220	220	448
3	4	123	0	his	True	-3	21	0	0	0	0	36	204	420	812
3	4	146	0	his	True	-3	22	0	0	0	0	228	228	228	372
3	4	50	0	his	True	-3	23	176	176	176	176	368	840	840	1020
3	4	3	0	his	True	-3	24	0	0	0	0	140	140	336	1468
3	4	140	0	his	True	-3	25	260	260	260	260	164	164	164	164
3	4	45	0	his	True	-3	27	140	140	140	776	332	332	332	332
3	4	88	0	his	True	-3	28	0	0	0	0	176	176	384	548
3	4	176	0	his	True	-3	29	0	0	0	0	156	156	288	448
3	4	151	0	his	True	-3	30	164	164	164	164	192	192	192	192
3	4	57	0	his	True	-3	31	152	152	152	220	104	188	188	188
3	4	156	0	his	True	-3	32	164	164	164	164	272	272	272	524
3	4	43	0	his	True	-3	33	0	0	0	0	176	176	736	1784
3	4	3	0	his	True	-3	34	0	0	0	0	0	0	0	0
3	4	29	0	his	True	-3	35	188	188	188	188	476	636	636	636
3	4	150	0	his	True	-3	36	0	0	0	0	168	168	168	452
3	4	194	0	his	True	-3	37	88	368	576	1068	188	188	188	188
3	4	114	0	his	True	-3	38	216	216	216	360	188	188	188	348
3	4	38	0	his	True	-3	39	0	0	0	0	160	160	296	700
3	4	20	0	his	True	-3	40	292	476	604	1336	0	0	0	0
3	4	185	0	his	True	-3	41	212	212	428	1172	148	148	148	148
3	4	108	0	his	True	-3	42	0	0	0	0	296	296	296	768
3	4	116	0	his	True	-3	43	0	0	0	0	188	188	312	716
4	1	23	0	He	True	?	1	288	288	288	288	164	164	164	164
4	1	127	0	He	True	?	2	196	196	196	196	192	192	192	192
4	1	50	0	He	True	?	3	108	340	340	340	144	144	144	144
4	1	85	0	He	True	?	4	0	0	0	0	344	344	344	344
4	1	160	0	He	True	?	5	0	0	0	0	480	480	480	480
4	1	60	0	He	True	?	6	0	0	0	0	248	248	248	248
4	1	169	0	He	True	?	7	212	212	212	212	108	108	108	108
4	1	46	0	He	True	?	8	252	252	252	252	172	172	172	172
4	1	205	0	He	True	?	10	100	100	100	100	0	0	0	0
4	1	111	0	He	True	?	11	268	268	268	268	116	116	116	116
4	1	121	0	He	True	?	12	288	488	488	640	216	216	692	1288
4	1	156	0	He	True	?	13	264	264	264	264	208	208	208	208
4	1	178	0	He	True	?	14	0	0	0	0	244	468	468	468
4	1	109	0	He	True	?	15	0	0	0	0	252	252	252	252
4	1	104	0	He	True	?	16	0	0	0	0	312	312	424	512
4	1	192	0	He	True	?	18	0	0	0	0	260	308	308	308
4	1	93	0	He	True	?	19	0	0	0	0	276	276	276	276
4	1	178	0	He	True	?	20	0	0	0	0	228	360	360	360
4	1	100	0	He	True	?	21	0	0	0	0	0	0	0	0
4	1	86	0	He	True	?	22	0	0	0	0	364	364	520	660
4	1	91	0	He	True	?	23	0	0	0	0	204	420	420	420
4	1	63	0	He	True	?	24	236	236	236	236	160	160	160	160
4	1	112	0	He	True	?	25	100	100	100	100	176	316	316	316
4	1	28	0	He	True	?	27	0	0	0	0	108	456	456	456
4	1	43	0	He	True	?	28	0	0	0	0	220	220	220	220
4	1	140	0	He	True	?	29	0	0	0	0	328	328	328	328
4	1	143	0	He	True	?	30	0	0	0	0	280	780	780	780
