sent_nr	word_pos	sent_pos	last_word	token	sent_has_unresolved	distance	subj_nr	rt_ff	rt_fp	rt_rb	rt_gp	spill_ff	spill_fp	spill_rb	spill_gp
3	4	18	0	his	True	-3	1	0	0	0	0	168	168	468	1720
3	4	166	0	his	True	-3	2	152	152	152	276	316	316	316	316
3	4	142	0	his	True	-3	3	116	116	116	688	0	0	0	0
3	4	36	0	his	True	-3	4	264	264	780	916	216	216	216	216
3	4	148	0	his	True	-3	5	0	0	0	0	244	244	244	1452
3	4	137	0	his	True	-3	6	0	0	0	0	208	208	208	568
3	4	48	0	his	True	-3	7	168	168	168	704	208	208	940	2716
3	4	7	0	his	True	-3	8	276	276	428	784	148	148	148	1024
3	4	127	0	his	True	-3	10	0	0	0	0	272	272	272	1116
3	4	135	0	his	True	-3	11	260	260	260	260	252	252	252	252
3	4	164	0	his	True	-3	12	192	192	192	192	200	200	432	1236
3	4	46	0	his	True	-3	13	0	0	0	0	172	376	376	376
3	4	48	0	his	True	-3	14	176	176	176	176	156	156	156	156
3	4	13	0	his	True	-3	15	200	360	360	584	96	96	96	96
3	4	22	0	his	True	-3	16	220	428	428	428	336	1232	1232	1232
3	4	23	0	his	True	-3	17	0	0	0	0	204	204	540	1372
3	4	181	0	his	True	-3	18	0	0	0	0	304	304	304	304
3	4	89	0	his	True	-3	19	204	204	204	384	0	0	0	0
3	4	57	0	his	True	-3	20	212	212	296	464	220	220	220	448
3	4	123	0	his	True	-3	21	0	0	0	0	36	204	420	812
3	4	146	0	his	True	-3	22	0	0	0	0	228	228	228	372
3	4	50	0	his	True	-3	23	176	176	176	176	368	840	840	1020
3	4	3	0	his	True	-3	24	0	0	0	0	140	140	336	1468
3	4	140	0	his	True	-3	25	260	260	260	260	164	164	164	164
3	4	45	0	his	True	-3	27	140	140	140	776	332	332	332	332
3	4	88	0	his	True	-3	28	0	0	0	0	176	176	384	548
3	4	176	0	his	True	-3	29	0	0	0	0	156	156	288	448
3	4	151	0	his	True	-3	30	164	164	164	164	192	192	192	192
3	4	57	0	his	True	-3	31	152	152	152	220	104	188	188	188
3	4	156	0	his	True	-3	32	164	164	164	164	272	272	272	524
3	4	43	0	his	True	-3	33	0	0	0	0	176	176	736	1784
3	4	3	0	his	True	-3	34	0	0	0	0	0	0	0	0
3	4	29	0	his	True	-3	35	188	188	188	188	476	636	636	636
3	4	150	0	his	True	-3	36	0	0	0	0	168	168	168	452
3	4	194	0	his	True	-3	37	88	368	576	1068	188	188	188	188
3	4	114	0	his	True	-3	38	216	216	216	360	188	188	188	348
3	4	38	0	his	True	-3	39	0	0	0	0	160	160	296	700
3	4	20	0	his	True	-3	40	292	476	604	1336	0	0	0	0
3	4	185	0	his	True	-3	41	212	212	428	1172	148	148	148	148
3	4	108	0	his	True	-3	42	0	0	0	0	296	296	296	768
3	4	116	0	his	True	-3	43	0	0	0	0	188	188	312	716
16	3	15	0	his	False	-3	1	260	260	260	260	164	164	164	164
16	3	101	0	his	False	-3	2	136	136	136	136	128	128	128	128
16	3	59	0	his	False	-3	3	168	168	168	168	248	248	248	248
16	3	148	0	his	False	-3	4	148	148	148	148	332	332	332	332
16	3	72	0	his	False	-3	5	164	164	164	164	192	192	192	192
16	3	192	0	his	False	-3	6	124	124	124	124	0	0	0	0
16	3	195	0	his	False	-3	7	160	160	160	160	0	0	0	0
16	3	22	0	his	False	-3	8	196	196	196	196	140	140	140	140
16	3	5	0	his	False	-3	9	196	196	196	196	164	164	164	164
16	3	86	0	his	False	-3	10	156	156	156	156	68	68	68	68
16	3	16	0	his	False	-3	11	136	136	136	136	216	216	216	216
16	3	72	0	his	False	-3	12	0	0	0	0	0	0	0	0
16	3	139	0	his	False	-3	13	184	184	184	184	0	0	0	0
16	3	177	0	his	False	-3	14	256	256	256	256	0	0	0	0
16	3	142	0	his	False	-3	15	196	196	196	196	0	0	0	0
16	3	113	0	his	False	-3	16	212	212	212	212	164	164	164	164
16	3	158	0	his	False	-3	17	0	0	0	0	212	212	212	516
16	3	45	0	his	False	-3	18	252	252	252	252	136	136	136	136
16	3	8	0	his	False	-3	19	160	160	160	160	236	236	236	236
16	3	204	0	his	False	-3	20	0	0	0	0	192	192	192	192
16	3	55	0	his	False	-3	21	212	212	400	708	120	120	120	120
16	3	101	0	his	False	-3	22	168	388	388	388	0	0	0	0
16	3	103	0	his	False	-3	23	132	288	288	288	264	264	264	264
16	3	40	0	his	False	-3	24	160	160	160	160	204	204	204	204
16	3	166	0	his	False	-3	25	136	136	136	136	148	148	148	148
16	3	26	0	his	False	-3	27	72	72	72	552	300	300	300	300
16	3	23	0	his	False	-3	28	0	0	0	0	0	0	0	0
16	3	97	0	his	False	-3	29	180	180	180	180	188	188	188	188
16	3	70	0	his	False	-3	30	276	276	488	744	212	212	212	212
16	3	136	0	his	False	-3	31	144	144	144	144	120	120	120	120
16	3	41	0	his	False	-3	32	184	184	184	184	200	200	200	200
16	3	2	0	his	False	-3	33	188	188	188	188	136	136	136	136
16	3	92	0	his	False	-3	34	220	220	220	432	212	424	424	424
16	3	35	0	his	False	-3	35	0	0	0	0	164	320	320	320
16	3	186	0	his	False	-3	36	180	180	180	180	252	252	252	656
16	3	49	0	his	False	-3	37	212	212	212	212	128	128	128	128
16	3	182	0	his	False	-3	38	0	0	0	0	200	200	200	448
